DATE	DAY	MONTH	QUARTER	YEAR	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	NO. OF  TRADES
07 October 2025	Tuesday	October	Q4	2025	1376.00	1395.90	1375.90	1375.00	1384.50	1384.80	1386.79	2802.00	1114.85	11244040	196055
06 October 2025	Monday	October	Q4	2025	1360.00	1377.40	1359.00	1363.40	1374.90	1375.00	1367.85	2802.00	1114.85	12396580	184550
03 October 2025	Friday	October	Q4	2025	1363.20	1371.60	1356.90	1368.70	1363.30	1363.40	1362.13	3049.95	1114.85	12842347	216161
01 October 2025	Wednesday	October	Q4	2025	1367.00	1378.60	1362.70	1364.00	1370.00	1368.70	1369.56	3049.95	1114.85	12045916	258017
30 September 2025	Tuesday	September	Q3	2025	1377.10	1377.10	1362.80	1372.80	1364.00	1364.00	1366.52	3049.95	1114.85	14604684	223375
29 September 2025	Monday	September	Q3	2025	1381.60	1389.00	1368.00	1377.60	1376.00	1372.80	1375.78	3049.95	1114.85	14231999	213268
26 September 2025	Friday	September	Q3	2025	1372.00	1382.70	1366.00	1372.40	1379.00	1377.60	1376.37	3066.95	1114.85	9879109	148644
25 September 2025	Thursday	September	Q3	2025	1381.30	1384.50	1369.00	1383.00	1374.80	1372.40	1375.53	3066.95	1114.85	11411143	155102
24 September 2025	Wednesday	September	Q3	2025	1385.30	1396.00	1380.40	1389.80	1381.10	1383.00	1387.32	3066.95	1114.85	5922759	120399
23 September 2025	Tuesday	September	Q3	2025	1391.00	1395.00	1376.80	1390.60	1390.50	1389.80	1387.57	3066.95	1114.85	14014702	210931
22 September 2025	Monday	September	Q3	2025	1403.90	1410.70	1388.00	1407.40	1390.90	1390.60	1400.91	3066.95	1114.85	7757970	136991
19 September 2025	Friday	September	Q3	2025	1414.90	1417.00	1403.60	1415.00	1407.60	1407.40	1408.43	3066.95	1114.85	13461373	143644
18 September 2025	Thursday	September	Q3	2025	1420.40	1422.00	1410.70	1413.80	1415.00	1415.00	1415.31	3066.95	1114.85	9332642	182559
17 September 2025	Wednesday	September	Q3	2025	1407.00	1416.20	1406.90	1405.30	1413.00	1413.80	1412.05	3066.95	1114.85	7519417	189638
16 September 2025	Tuesday	September	Q3	2025	1404.70	1408.00	1398.20	1399.30	1405.90	1405.30	1404.00	3066.95	1114.85	8686961	170452
15 September 2025	Monday	September	Q3	2025	1393.00	1400.80	1388.60	1395.00	1399.30	1399.30	1395.97	3066.95	1114.85	5396697	130728
12 September 2025	Friday	September	Q3	2025	1383.30	1396.30	1380.50	1383.30	1395.00	1395.00	1392.69	3066.95	1114.85	7403368	156369
11 September 2025	Thursday	September	Q3	2025	1376.00	1385.50	1375.00	1377.00	1382.10	1383.30	1382.49	3066.95	1114.85	9766072	173431
10 September 2025	Wednesday	September	Q3	2025	1383.90	1388.50	1374.10	1376.20	1377.50	1377.00	1380.12	3066.95	1114.85	7790815	222655
09 September 2025	Tuesday	September	Q3	2025	1376.60	1381.20	1368.70	1378.50	1376.10	1376.20	1375.44	3066.95	1114.85	9754452	209637
08 September 2025	Monday	September	Q3	2025	1380.00	1386.00	1372.40	1375.00	1378.90	1378.50	1379.43	3066.95	1114.85	6986720	131052
05 September 2025	Friday	September	Q3	2025	1363.00	1381.00	1359.30	1359.30	1375.70	1375.00	1370.36	3066.95	1114.85	5777575	142951
04 September 2025	Thursday	September	Q3	2025	1371.80	1374.00	1357.10	1372.60	1359.10	1359.30	1363.97	3066.95	1114.85	13223177	200473
03 September 2025	Wednesday	September	Q3	2025	1369.70	1376.50	1360.50	1366.50	1372.00	1372.60	1368.85	3066.95	1114.85	7847563	209277
02 September 2025	Tuesday	September	Q3	2025	1354.80	1384.50	1354.50	1353.90	1367.50	1366.50	1374.28	3066.95	1114.85	11517006	235433
01 September 2025	Monday	September	Q3	2025	1356.00	1363.20	1340.60	1357.20	1355.00	1353.90	1353.99	3066.95	1114.85	11232238	249574
29 August 2025	Friday	August	Q3	2025	1381.10	1403.50	1350.00	1385.90	1356.00	1357.20	1375.14	3079.45	1114.85	18758842	348532
28 August 2025	Thursday	August	Q3	2025	1389.90	1392.20	1366.50	1384.90	1390.90	1385.90	1380.78	3079.45	1114.85	13161813	252423
26 August 2025	Tuesday	August	Q3	2025	1408.00	1410.00	1381.60	1412.60	1383.80	1384.90	1390.78	3079.45	1114.85	12145259	201578
25 August 2025	Monday	August	Q3	2025	1414.70	1419.50	1405.70	1409.20	1413.70	1412.60	1412.48	3079.45	1114.85	5979407	184067
22 August 2025	Friday	August	Q3	2025	1420.00	1423.40	1407.90	1424.80	1409.90	1409.20	1414.00	3079.45	1114.85	5818868	137165
21 August 2025	Thursday	August	Q3	2025	1425.00	1431.90	1420.30	1413.00	1424.30	1424.80	1427.55	3079.45	1114.85	11021323	231863
20 August 2025	Wednesday	August	Q3	2025	1413.00	1424.90	1410.00	1420.10	1412.00	1413.00	1418.58	3079.45	1114.85	8725641	196554
19 August 2025	Tuesday	August	Q3	2025	1390.00	1421.00	1389.10	1381.70	1421.00	1420.10	1413.60	3079.45	1114.85	14384719	288664
18 August 2025	Monday	August	Q3	2025	1390.00	1394.90	1377.00	1373.80	1382.90	1381.70	1384.21	3079.45	1114.85	11785109	319844
14 August 2025	Thursday	August	Q3	2025	1377.30	1380.70	1370.10	1382.60	1372.90	1373.80	1375.17	3079.45	1114.85	7126128	175588
13 August 2025	Wednesday	August	Q3	2025	1388.00	1391.80	1377.50	1380.40	1384.00	1382.60	1384.19	3079.45	1114.85	7457021	208576
12 August 2025	Tuesday	August	Q3	2025	1381.90	1401.90	1375.20	1386.20	1381.00	1380.40	1386.76	3079.45	1114.85	12244664	179433
11 August 2025	Monday	August	Q3	2025	1370.00	1388.00	1361.20	1367.80	1384.60	1386.20	1375.78	3079.45	1114.85	9997486	226304
08 August 2025	Friday	August	Q3	2025	1385.00	1397.20	1365.00	1389.40	1366.20	1367.80	1374.93	3079.45	1114.85	8793606	208137
07 August 2025	Thursday	August	Q3	2025	1387.70	1393.70	1366.00	1392.80	1391.00	1389.40	1381.52	3079.45	1114.85	9976705	293767
06 August 2025	Wednesday	August	Q3	2025	1391.90	1395.90	1383.30	1391.70	1393.00	1392.80	1390.57	3079.45	1114.85	5834312	156725
